Date,nysecomp,nasdaqcomp,hangsengind,shanghaicomp,euronext,nikkei,bitcoin,dogecoin,ethereum,crudeoil,ngas
2017-06-01,11699.79004,6246.830078,25809.2207,3102.623047,1026.589966,19860.0293,2407.8798828125,0.0028666299767792225,222.23899841308597,48.360001000000004,3.0500000000000003
2017-06-02,11718.7002,6305.799805,25924.05078,3105.540039,1030.430054,20177.2793,2488.550048828125,0.0030261599458754067,223.7749938964844,47.66,2.849999999999999
2017-06-05,11693.67969,6295.680176,25862.99023,3091.6560059999997,1025.140015,20170.82031,2686.81005859375,0.0038728199433535337,248.4640045166016,47.400002,2.9199999999999995
2017-06-06,11671.45996,6275.060059,25997.14063,3102.125977,1018.6900019999999,19979.90039,2863.199951171875,0.003740849904716015,264.46600341796875,48.189999,2.9199999999999995
2017-06-07,11667.73047,6297.379883,25974.16016,3140.324951,1019.6300050000001,19984.61914,2732.159912109375,0.0033015299122780557,258.07101440429693,45.720001,3.0600000000000014
2017-06-08,11678.9502,6321.759765999999,26063.06055,3150.333984,1017.590027,19909.25977,2805.6201171875,0.0035745000932365656,261.66598510742193,45.639998999999996,2.979999999999999
2017-06-09,11744.73047,6207.919922,26030.28906,3158.399902,1023.830017,20013.25977,2823.81005859375,0.003452539909631014,281.73699951171875,45.830002,3.03
2017-06-12,11746.45996,6175.459961,25708.03906,3139.876953,1011.8800050000001,19908.58008,2659.6298828125,0.00325287994928658,401.489990234375,46.080002,3.1199999999999997
2017-06-13,11796.79004,6220.370117,25852.09961,3153.74292,1016.169983,19898.75,2717.02001953125,0.0033129500225186352,397.5369873046875,46.459998999999996,3.1199999999999997
2017-06-14,11779.80957,6194.890136999999,25875.90039,3130.674072,1013.7800289999999,19883.51953,2506.3701171875,0.003091630060225725,359.0530090332031,44.73,2.9500000000000015
2017-06-15,11740.51953,6165.5,25565.33984,3132.486084,1009.26001,19831.82031,2464.580078125,0.003042760072275996,361.9330139160156,44.459998999999996,2.9400000000000013
2017-06-16,11772.01953,6151.759765999999,25626.49023,3123.166016,1017.2899779999999,19943.25977,2518.56005859375,0.003162750042974949,370.22698974609375,44.740002000000004,3.01
2017-06-19,11833.33984,6239.009765999999,25924.55078,3144.374023,1025.459961,20067.75,2589.60009765625,0.003141049994155765,370.0559997558594,44.200001,2.8700000000000006
2017-06-20,11738.9502,6188.029785,25843.03906,3140.013916,1021.3699949999999,20230.41016,2721.7900390625,0.00321812997572124,359.0050048828125,43.23,2.9099999999999997
2017-06-21,11696.280270000001,6233.950195,25694.58008,3156.211914,1017.5399779999999,20138.78906,2689.10009765625,0.00312464009039104,336.87200927734375,42.529999,2.9099999999999997
2017-06-22,11712.51953,6236.689941,25674.5293,3147.4528809999997,1017.2700199999999,20110.50977,2705.409912109375,0.0031037700828164816,336.3710021972656,42.740002000000004,2.88
2017-06-23,11733.2002,6265.25,25670.05078,3157.873047,1013.909973,20132.66992,2744.909912109375,0.003142769914120436,341.739013671875,43.009997999999996,2.8899999999999997
2017-06-26,11758.86035,6247.149902,25871.89063,3185.444092,1019.3800050000001,20153.34961,2478.449951171875,0.002750139916315675,272.69198608398443,43.380001,2.979999999999999
2017-06-27,11716.91992,6146.620117,25839.99023,3191.197021,1011.8900150000001,20225.08984,2552.449951171875,0.0026225999463349576,293.0880126953125,44.240002000000004,2.9899999999999998
2017-06-28,11812.799809999999,6234.410156,25683.5,3173.200928,1009.349976,20130.41016,2574.7900390625,0.002793030114844441,327.927001953125,44.740002000000004,3.03
2017-06-29,11739.98047,6144.350098,25965.41992,3188.0629879999997,990.840027,20220.30078,2539.320068359375,0.002655789954587817,302.88299560546875,44.93,3.0700000000000003
2017-06-30,11761.7002,6140.419922,25764.58008,3192.427002,986.2199710000001,20033.42969,2480.840087890625,0.002601680113002658,294.9159851074219,46.040001000000004,2.979999999999999
2017-07-05,11809.49023,6150.859863000001,25521.9707,3207.134033,995.2999880000001,20081.63086,2601.989990234375,0.0027135000564157963,268.77398681640625,45.130001,2.979999999999999
2017-07-06,11702.42969,6089.459961,25465.2207,3212.444092,989.76001,19994.06055,2608.56005859375,0.002636170014739037,270.54901123046875,45.52,2.8899999999999997
2017-07-07,11752.98047,6153.080078,25340.84961,3217.957031,989.6400150000001,19929.08984,2518.659912109375,0.002397229894995689,245.99099731445312,44.23,2.9099999999999997
2017-07-10,11751.79004,6176.390136999999,25500.06055,3212.63208,993.6400150000001,20080.98047,2372.56005859375,0.0019524400122463703,215.35699462890625,44.400002,2.9199999999999995
2017-07-11,11744.76953,6193.299805,25877.64063,3203.038086,988.9400019999999,20195.48047,2337.7900390625,0.0017788599943742156,197.4040069580078,45.040001000000004,2.979999999999999
2017-07-12,11825.90039,6261.169922,26043.64063,3197.543945,1002.8900150000001,20098.38086,2398.840087890625,0.0019380999729037285,230.7740020751953,45.490002000000004,3.01
2017-07-13,11844.62012,6274.439941,26346.16992,3218.163086,1006.820007,20099.81055,2357.89990234375,0.0018227699911221864,209.7330017089844,46.080002,2.96
